Id,year,month,day,precip,tmax,tmin,basin_cfs,runoff (same in datafile),delta_e
1,2002,10,1,0.13,57.4,34.6,3.890482,2.7,-1.190482
2,2002,10,2,0.97,38.4,29.7,3.041588,2.7,-0.341588
3,2002,10,3,0.04,41.2,31.7,2.796749,2.8,0.003251
4,2002,10,4,0,52.9,34,2.600715,2.8,0.199285
5,2002,10,5,0,50.5,34.8,2.43956,2.6,0.16044
6,2002,10,6,0,59.1,38.7,2.313932,2.4,0.086068
7,2002,10,7,0,59.8,39.8,2.20687,2.8,0.59313
8,2002,10,8,0,65,42.3,2.138643,2.5,0.361357
9,2002,10,9,0,66.7,42.2,2.074149,2.4,0.325851
10,2002,10,10,0,67.9,45.3,2.018152,2.3,0.281848
11,2002,10,11,0,68.5,48,1.969334,2.2,0.230666
12,2002,10,12,0,58.3,31.9,1.880715,2.1,0.219285
13,2002,10,13,0,57.7,29,1.841334,2.1,0.258666
14,2002,10,14,0,60.1,35.3,1.812958,2.1,0.287042
15,2002,10,15,0,63.1,36.1,1.795018,2.1,0.304982
16,2002,10,16,0,64.1,36.2,1.774201,2,0.225799
17,2002,10,17,0,61.8,37.6,1.746542,2,0.253458
18,2002,10,18,0,62.9,35.7,1.730267,1.9,0.169733
19,2002,10,19,0,64.4,35.9,1.718727,1.9,0.181273
20,2002,10,20,0,64.2,37.2,1.70904,1.9,0.19096
21,2002,10,21,0,64.1,36.9,1.692878,1.9,0.207122
22,2002,10,22,0,62.8,35.6,1.678333,1.8,0.121667
23,2002,10,23,0,60.7,32,1.663181,1.8,0.136819
24,2002,10,24,0,53,30.9,1.649467,1.8,0.150533
25,2002,10,25,0,55.3,31.9,1.640825,1.8,0.159175
26,2002,10,26,0.14,52.8,34.7,2.082153,1.9,-0.182153
27,2002,10,27,0,45.9,32.8,1.625104,1.8,0.174896
28,2002,10,28,0,50.4,32.7,1.617123,1.8,0.182877
29,2002,10,29,0,52.9,25.8,1.609214,1.7,0.090786
30,2002,10,30,0,44.8,24,1.601368,1.6,-0.001368
31,2002,10,31,0,47.3,21.5,1.593589,1.7,0.106411
32,2002,11,1,0,40.5,9.4,1.585876,1.8,0.214124
33,2002,11,2,0,31,9.9,1.578224,1.8,0.221776
34,2002,11,3,0,38.7,14.9,1.570637,1.8,0.229363
